word;desc;dialect
gralla;desc_gralla;català
festa;desc;català
foc;desc;català
ací;desc;valencià
puja;desc;català
fam;desc;català
rebeu;desc;català
ola;desc;català
ball;desc;català
tria;desc;català
riu;desc;català
sang;desc;català
seny;desc;català
jovent;desc;català
porron;desc;català
xarnego;desc;català
cuita;desc;català
pilota;desc;català
aiga;desc;català
castell;desc;català
xafogor;desc;català
marxa;desc;català
pont;desc;català
calers;desc;català
rauxa;desc;català
alè;desc;català
apa;desc;català
ara;desc;català
avi;desc;català
art;desc;català
all;desc;català
amè;desc;català
sou;desc;català
som;desc;català
fou;desc;català
cim;desc;català
cuc;desc;català
cul;desc;català
cor;desc;català
coi;desc;català
cau;desc;català
cap;desc;català
cel;desc;català
nan;desc;català
noi;desc;català
nen;desc;català
nom;desc;català
maó;desc;català
moc;desc;català
mos;desc;català
mag;desc;català
